wealth - salary,wealth - investment gain,wealth - rental income,wealth - business revenue,wealth - inheritance,wealth - others,fund - salary,fund - investment gain,fund - rental income,fund - business revenue,fund - inheritance,fund - others,Age,Occupation,Industry,speed_of_payment,Income,Adjusted Income,Annual Income,Adjusted Annual Income,Income Multiplier Based on Age,Wealth Indicator,Net Worth,Proposed Subscription Amount,Net Worth / Total Commitment,Income / Total Commitment
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,44,21 Science & Engineering Professionals,Science & Engineering,35,8356.2,8356.2,100274.4,100274.4,3,0,300823.19999999995,17000,17.695482352941173,5.898494117647059
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,58,22 Health Professionals,Unknown Industry,42,6837.76,6837.76,82053.12,82053.12,4,0,328212.48,14000,23.44374857142857,5.860937142857143
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,72,12 Administrative & Commercial Managers,Management,20,9082,0,108984,0,2,50000,267968,8000,33.496,13.623
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,18,41 General & Keyboard Clerks,Unknown Industry,22,2851.2,2851.2,34214.399999999994,34214.399999999994,1.5,50000,101321.59999999999,8000,12.665199999999999,4.2768
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,74,"71 Building & Related Trades Workers, Excluding Electricians",Unknown Industry,34,7064.639999999999,0,84775.68,0,2,0,169551.36,4000,42.38784,21.19392
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,84,24 Business & Administration Professionals,Business & Administration,29,7519,0,90228,0,2,0,180456,3000,60.152,30.076
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,73,23 Teaching & Training Professionals,Education,43,8937.5,0,107250,0,2,50000,264500,7000,37.785714285714285,15.321428571428571
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,43,24 Business & Administration Professionals,Business & Administration,30,8633,8633,103596,103596,3,50000,360788,21000,17.180380952380954,4.933142857142857
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,31,24 Business & Administration Professionals,Business & Administration,25,8635,8635,103620,103620,2,0,207240,14000,14.802857142857142,7.401428571428571
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,68,33 Business & Administration Associate Professionals,Business & Administration,54,7580,3790,90960,45480,3.5,50000,368360,12000,30.696666666666665,7.58
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,72,41 General & Keyboard Clerks,Unknown Industry,37,8358.119999999999,0,100297.44,0,2,50000,250594.88,7000,35.79926857142857,14.328205714285714
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,64,54 Protective Services Workers,Unknown Industry,40,4080.3,2040.15,48963.600000000006,24481.800000000003,3.5,50000,221372.60000000003,8000,27.671575000000004,6.120450000000001
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41,40 Clerical Supervisors,Unknown Industry,25,6576.750000000001,6576.750000000001,78921.00000000001,78921.00000000001,3,50000,286763.00000000006,17000,16.868411764705886,4.642411764705884
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,64,22 Health Professionals,Unknown Industry,34,4020.000000000001,2010,48240.00000000001,24120.000000000004,3.5,50000,218840.00000000003,8000,27.355000000000004,6.030000000000001
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,47,24 Business & Administration Professionals,Business & Administration,41,9714,9714,116568,116568,3,50000,399704,21000,19.03352380952381,5.550857142857143
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,82,33 Business & Administration Associate Professionals,Business & Administration,28,5967,0,71604,0,2,50000,193208,3000,64.40266666666666,23.868
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,49,X1 - X5 Workers Not Elsewhere Classified,Unknown Industry,43,3831.8,3831.8,45981.6,45981.6,3,50000,187944.8,10000,18.79448,4.59816
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,38,52 Sales Workers,Unknown Industry,33,5316.84,5316.84,63802.08,63802.08,2,50000,177604.16,11000,16.145832727272726,5.800189090909091
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,48,52 Sales Workers,Unknown Industry,37,5538.92,5538.92,66467.04000000001,66467.04000000001,3,50000,249401.12000000002,13000,19.18470153846154,5.112849230769231
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,81,"34 Legal, Social, Cultural & Related Associate Professionals",Unknown Industry,33,7738.75,0,92865,0,2,0,185730,4000,46.4325,23.21625
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,38,21 Science & Engineering Professionals,Science & Engineering,58,9377.64,9377.64,112531.68000000002,112531.68000000002,2,50000,275063.36000000004,17000,16.180197647058826,6.619510588235295
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,72,83 Drivers & Mobile Machinery Operators,Unknown Industry,39,8218.96,0,98627.52,0,2,50000,247255.04,7000,35.32214857142857,14.089645714285714
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,83,21 Science & Engineering Professionals,Science & Engineering,29,10454.49,0,125453.88,0,2,0,250907.76,4000,62.72694,31.36347
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60,21 Science & Engineering Professionals,Science & Engineering,48,11619.4,11619.4,139432.8,139432.8,3.5,50000,538014.7999999999,22000,24.45521818181818,6.337854545454545
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,48,51 Personal Service Workers,Unknown Industry,27,5197.9,5197.9,62374.8,62374.8,3,50000,237124.40000000002,12000,19.76036666666667,5.197900000000001
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,19,33 Business & Administration Associate Professionals,Business & Administration,42,6268,6268,75216,75216,1.5,0,112824,9000,12.536,8.357333333333333
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,62,33 Business & Administration Associate Professionals,Business & Administration,20,7323,7323,87876,87876,3.5,0,307566,12000,25.6305,7.323
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,27,83 Drivers & Mobile Machinery Operators,Unknown Industry,26,4133.17,4133.17,49598.04,49598.04,1.5,50000,124397.06,9000,13.821895555555555,5.510893333333334
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,49,13 Production & Specialised Services Managers,Unknown Industry,41,6717.549999999999,6717.549999999999,80610.59999999999,80610.59999999999,3,50000,291831.8,15000,19.45545333333333,5.374039999999999
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,64,83 Drivers & Mobile Machinery Operators,Unknown Industry,47,6968,3484,83616,41808,3.5,50000,342656,12000,28.554666666666666,6.968
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,75,83 Drivers & Mobile Machinery Operators,Unknown Industry,41,5491.15,0,65893.79999999999,0,2,0,131787.59999999998,3000,43.929199999999994,21.964599999999997
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,40,91 Cleaners & Related Workers,Unknown Industry,38,5240.400000000001,5240.400000000001,62884.8,62884.8,3,50000,238654.40000000002,14000,17.04674285714286,4.491771428571429
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,80,"11 Legislators, Senior Officials & Chief Executives",Unknown Industry,36,6775.5,0,81306,0,2,50000,212612,4000,53.153,20.3265
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,47,12 Administrative & Commercial Managers,Management,25,10412,10412,124944,124944,3,0,374832,20000,18.7416,6.2472
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,34,51 Personal Service Workers,Unknown Industry,32,3285.36,3285.36,39424.32,39424.32,2,0,78848.64,5000,15.769728,7.884864
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50,91 Cleaners & Related Workers,Unknown Industry,35,3974.4,3974.4,47692.8,47692.8,4,0,190771.2,10000,19.07712,4.76928
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,62,33 Business & Administration Associate Professionals,Business & Administration,50,5387,5387,64644,64644,3.5,50000,276254,10000,27.6254,6.4644
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,21,43 Numerical & Material-Recording Clerks,Clerical Support,43,4050,4050,48600,48600,1.5,50000,122900,10000,12.29,4.86
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,53,83 Drivers & Mobile Machinery Operators,Unknown Industry,22,4974.12,4974.12,59689.44,59689.44,4,50000,288757.76,14000,20.625554285714287,4.2635314285714285
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,78,83 Drivers & Mobile Machinery Operators,Unknown Industry,43,5058.64,0,60703.68000000001,0,2,0,121407.36000000002,3000,40.469120000000004,20.234560000000002
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,59,33 Business & Administration Associate Professionals,Business & Administration,36,7486,7486,89832,89832,4,50000,409328,17000,24.078117647058825,5.284235294117647
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,46,52 Sales Workers,Unknown Industry,33,3757.24,3757.24,45086.88,45086.88,3,50000,185260.63999999998,10000,18.526063999999998,4.508687999999999
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,46,"96 Waste Collection, Recycling & Material Recovery Workers & Other Elementary Workers",Unknown Industry,46,4158.599999999999,4158.599999999999,49903.2,49903.2,3,50000,199709.59999999998,11000,18.15541818181818,4.536654545454545
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,78,43 Numerical & Material-Recording Clerks,Clerical Support,50,3993,0,47916,0,2,0,95832,2000,47.916,23.958
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,43,21 Science & Engineering Professionals,Science & Engineering,49,7846.719999999999,7846.719999999999,94160.63999999998,94160.63999999998,3,50000,332481.9199999999,19000,17.499048421052628,4.955823157894736
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,18,41 General & Keyboard Clerks,Unknown Industry,31,4463.36,4463.36,53560.31999999999,53560.31999999999,1.5,50000,130340.47999999998,11000,11.849134545454543,4.86912
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,65,41 General & Keyboard Clerks,Unknown Industry,36,5175.900000000001,2587.9500000000003,62110.8,31055.4,3.5,50000,267387.80000000005,9000,29.70975555555556,6.9012
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,23,25 Information & Communications Technology Professionals,Unknown Industry,43,4175.7,4175.7,50108.4,50108.4,1.5,50000,125162.6,10000,12.51626,5.01084
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,45,24 Business & Administration Professionals,Business & Administration,49,10400,10400,124800,124800,3,50000,424400,23000,18.452173913043477,5.426086956521739
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41,33 Business & Administration Associate Professionals,Business & Administration,35,5154,5154,61848,61848,3,50000,235544,14000,16.824571428571428,4.417714285714286
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,47,24 Business & Administration Professionals,Business & Administration,38,9105,9105,109260,109260,3,0,327780,17000,19.281176470588235,6.4270588235294115
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,23,21 Science & Engineering Professionals,Science & Engineering,28,7320.959999999999,7320.959999999999,87851.51999999999,87851.51999999999,1.5,50000,181777.27999999997,14000,12.984091428571427,6.275108571428571
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,74,21 Science & Engineering Professionals,Science & Engineering,28,9031.68,0,108380.16,0,2,50000,266760.32,7000,38.10861714285714,15.48288
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,56,24 Business & Administration Professionals,Business & Administration,48,8316,8316,99792,99792,4,50000,449168,20000,22.4584,4.9896
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,77,31 Physical & Engineering Science Associate Professionals,Physical & Engineering Science,53,9227.19,0,110726.28,0,2,50000,271452.56,6000,45.24209333333333,18.45438
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,43,33 Business & Administration Associate Professionals,Business & Administration,39,7473,7473,89676,89676,3,50000,319028,18000,17.723777777777777,4.982
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,36,X1 - X5 Workers Not Elsewhere Classified,Unknown Industry,50,5048.780000000001,5048.780000000001,60585.36000000001,60585.36000000001,2,50000,171170.72000000003,11000,15.560974545454549,5.507760000000001
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,47,23 Teaching & Training Professionals,Education,43,5640.57,5640.57,67686.84,67686.84,3,0,203060.52,11000,18.460047272727273,6.153349091
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,37,13 Production & Specialised Services Managers,Unknown Industry,33,4522.89,4522.89,54274.68000000001,54274.68000000001,2,50000,158549.36000000002,10000,15.854936000000002,5.427468000000001
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,56,X1 - X5 Workers Not Elsewhere Classified,Unknown Industry,43,5003.46,5003.46,60041.52,60041.52,4,50000,290166.07999999996,13000,22.320467692307687,4.618578461538461
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,67,33 Business & Administration Associate Professionals,Business & Administration,55,5220,2610,62640,31320,3.5,50000,269240,9000,29.915555555555557,6.96
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,48,91 Cleaners & Related Workers,Unknown Industry,39,3554.16,3554.16,42649.92,42649.92,3,0,127949.76,7000,18.278537142857143,6.092845714285714
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,24,12 Administrative & Commercial Managers,Management,55,11804,11804,141648,141648,1.5,50000,262472,20000,13.1236,7.0824
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,51,21 Science & Engineering Professionals,Science & Engineering,13,6455.349999999999,6455.349999999999,77464.2,77464.2,4,50000,359856.8,18000,19.992044444444442,4.303566666666667
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,64,94 Food Preparation & Kitchen Assistants,Unknown Industry,48,7584.400000000001,3792.2,91012.8,45506.4,3.5,50000,368544.8,13000,28.3496,7.000984615384616
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,68,"71 Building & Related Trades Workers, Excluding Electricians",Unknown Industry,40,4999.74,2499.87,59996.88,29998.44,3.5,50000,259989.08,8000,32.498635,7.49961
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,27,X1 - X5 Workers Not Elsewhere Classified,Unknown Industry,37,5478.56,5478.56,65742.72,65742.72,1.5,0,98614.08,7000,14.087725714285714,9.391817142857143
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,51,33 Business & Administration Associate Professionals,Business & Administration,40,5719,5719,68628,68628,4,50000,324512,16000,20.282,4.28925
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,30,33 Business & Administration Associate Professionals,Business & Administration,20,7299,7299,87588,87588,2,50000,225176,16000,14.0735,5.47425
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,44,83 Drivers & Mobile Machinery Operators,Unknown Industry,37,4230.540000000001,4230.540000000001,50766.48000000001,50766.48000000001,3,50000,202299.44000000003,11000,18.390858181818185,4.615134545454547
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,28,33 Business & Administration Associate Professionals,Business & Administration,43,5491,5491,65892,65892,1.5,50000,148838,11000,13.530727272727272,5.990181818181818
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,55,42 Customer Services Officers & Clerks,Customer Service,54,4037,4037,48444,48444,4,50000,243776,11000,22.161454545454546,4.404
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,40,35 Information & Communications Technicians,Unknown Industry,34,6472.400000000001,6472.400000000001,77668.8,77668.8,3,50000,283006.4,17000,16.64743529411765,4.568752941176471
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,65,52 Sales Workers,Unknown Industry,31,6459.75,3229.875,77517,38758.5,3.5,50000,321309.5,11000,29.209954545454547,7.047
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,86,32 Health Associate Professionals,Health,34,9266.4,0,111196.8,0,2,0,222393.6,3000,74.1312,37.0656
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,68,52 Sales Workers,Unknown Industry,49,8248.26,4124.13,98979.12,49489.56,3.5,50000,396426.92,13000,30.49437846153846,7.613778461538462
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,69,23 Teaching & Training Professionals,Education,43,6560.8,0,78729.6,0,3.5,0,275553.60000000003,9000,30.61706666666667,8.747733333333334
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,34,25 Information & Communications Technology Professionals,Unknown Industry,34,3538.08,3538.08,42456.96,42456.96,2,50000,134913.91999999998,9000,14.990435555555553,4.71744
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41,33 Business & Administration Associate Professionals,Business & Administration,45,6815,6815,81780,81780,3,50000,295340,17000,17.372941176470587,4.810588235294118
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,43,12 Administrative & Commercial Managers,Management,40,12115,12115,145380,145380,3,50000,486140,28000,17.362142857142857,5.192142857142857
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,61,24 Business & Administration Professionals,Business & Administration,49,10763,10763,129156,129156,3.5,50000,502046,20000,25.1023,6.4578
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,48,74 Electrical & Electronic Trades Workers,Unknown Industry,32,4938.3,4938.3,59259.600000000006,59259.600000000006,3,50000,227778.80000000002,12000,18.98156666666667,4.938300000000001
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,22,13 Production & Specialised Services Managers,Unknown Industry,36,5393.96,5393.96,64727.52,64727.52,1.5,50000,147091.28,11000,13.371934545454545,5.88432
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,72,33 Business & Administration Associate Professionals,Business & Administration,36,5211,0,62532,0,2,0,125064,4000,31.266,15.633
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,53,23 Teaching & Training Professionals,Education,25,7366.47,7366.47,88397.64,88397.64,4,0,353590.56,17000,20.79944470588235,5.199861176470588
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,70,33 Business & Administration Associate Professionals,Business & Administration,42,5847,0,70164,0,2,50000,190328,6000,31.721333333333334,11.694
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,37,13 Production & Specialised Services Managers,Unknown Industry,42,5007.6,5007.6,60091.2,60091.2,2,50000,170182.4,11000,15.471127272727273,5.462836363636363
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,62,24 Business & Administration Professionals,Business & Administration,40,7538,7538,90456,90456,3.5,50000,366596,14000,26.18542857142857,6.461142857142857
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,62,91 Cleaners & Related Workers,Unknown Industry,37,6365.04,6365.04,76380.48,76380.48,3.5,50000,317331.68,12000,26.444306666666666,6.36504
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,37,25 Information & Communications Technology Professionals,Unknown Industry,25,5536.18,5536.18,66434.16,66434.16,2,50000,182868.32,12000,15.239026666666668,5.53618
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,59,41 General & Keyboard Clerks,Unknown Industry,35,4916.1900000000005,4916.1900000000005,58994.280000000006,58994.280000000006,4,50000,285977.12,12000,23.831426666666665,4.91619
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,55,13 Production & Specialised Services Managers,Unknown Industry,36,4073.75,4073.75,48885,48885,4,50000,245540,11000,22.32181818181818,4.444090909090909
