Id,AI declaration,Date of birth,Source of wealth salary,Source of wealth investment gain,Source of wealth inheritance,Source of wealth rental income,Source of wealth business revenue,Source of wealth other,Source of funds salary,Source of funds investment gain,Source of funds inheritance,Source of funds rental income,Source of funds business revenue,Source of funds other,Days to capital call payment,Source of capital call payment,GDP growth rate,Interest rate,default
2030,True,06.11.1978,True,True,False,True,False,Crypto holdings,True,True,True,False,False,Grant,180,Gift,-3%,-1%,False
6732,True,04.01.1982,False,True,False,True,False,IP ownership,True,True,False,True,True,Grant,20,Gift,-9%,4%,False
9164,False,17.01.2002,True,True,True,True,True,Crypto holdings,False,False,False,False,False,Pension,80,Grant,10%,-5%,False
1743,False,14.04.1958,False,False,True,True,True,Royalty earnings,False,True,False,False,False,Grant,161,Pension,-1%,10%,False
6822,True,08.05.1964,False,True,True,True,False,IP ownership,False,False,True,False,False,Grant,176,Pension,3%,-10%,True
9681,False,26.06.1954,False,True,False,True,True,IP ownership,True,True,True,True,True,Pension,13,Pension,-1%,2%,False
3622,True,22.06.2002,False,False,False,True,False,Royalty earnings,True,False,True,True,False,Gift,161,Pension,-6%,-10%,False
9316,False,23.05.1954,False,False,True,True,True,IP ownership,False,False,False,True,False,Pension,109,Grant,4%,-6%,False
8477,False,17.12.1959,False,True,False,False,False,IP ownership,True,False,False,False,False,Grant,108,Grant,5%,-8%,False
5338,True,05.04.1982,False,True,True,False,False,IP ownership,True,True,False,True,False,Grant,12,Pension,-3%,-9%,False
2451,True,24.01.2004,True,False,False,True,False,IP ownership,False,True,False,True,True,Gift,167,Gift,3%,9%,False
2517,True,24.01.2003,True,True,False,True,True,Crypto holdings,True,False,False,False,True,Gift,122,Gift,-6%,6%,False
5641,True,03.07.2004,True,False,False,False,True,Royalty earnings,False,True,True,False,True,Grant,121,Pension,-1%,0%,False
9728,False,30.10.1998,True,False,False,False,True,Crypto holdings,False,False,False,True,False,Pension,57,Grant,-5%,2%,False
1491,True,28.05.1976,False,False,True,False,False,Royalty earnings,True,True,True,False,False,Gift,131,Pension,7%,-8%,True
1532,False,16.11.1953,True,True,True,True,True,IP ownership,False,True,True,True,True,Pension,91,Gift,-6%,10%,False
7094,False,25.07.1995,False,True,True,False,False,Royalty earnings,False,True,False,False,False,Pension,116,Grant,5%,-5%,True
6305,True,28.06.1984,True,True,True,True,True,IP ownership,False,False,True,False,True,Grant,10,Grant,-2%,-2%,False
8825,True,14.12.1999,False,False,True,True,True,Crypto holdings,False,True,True,True,True,Pension,96,Gift,4%,-3%,False
2611,True,07.05.1978,True,False,False,False,False,Crypto holdings,False,False,False,False,True,Gift,79,Gift,0%,4%,False
8903,True,04.08.1984,False,False,True,True,True,Royalty earnings,False,False,False,True,True,Pension,124,Grant,-8%,1%,False
1445,True,01.12.1978,False,True,False,True,False,Crypto holdings,True,True,False,False,False,Grant,37,Grant,6%,10%,False
7160,True,18.06.1991,False,True,False,True,True,Royalty earnings,True,False,True,True,True,Grant,4,Pension,-2%,-7%,False
3003,False,13.11.2002,True,False,False,False,False,Crypto holdings,True,False,False,False,False,Gift,14,Pension,10%,5%,False
1112,False,19.07.1972,False,True,False,True,True,Crypto holdings,True,True,True,False,True,Pension,54,Grant,-6%,10%,False
7008,False,20.07.1974,True,True,False,True,True,Crypto holdings,True,False,True,False,False,Gift,50,Grant,-5%,6%,False
6795,True,06.03.1995,True,False,True,False,True,IP ownership,False,True,False,True,True,Grant,71,Pension,8%,-5%,False
2273,False,23.03.1966,False,False,True,False,True,Royalty earnings,False,False,False,True,True,Pension,173,Gift,9%,5%,False
2430,True,11.03.1970,True,True,False,False,True,IP ownership,True,False,True,True,False,Grant,171,Grant,-6%,3%,False
1882,True,13.04.2000,False,True,True,True,False,IP ownership,False,False,False,False,True,Gift,165,Grant,-4%,-6%,False
9597,False,10.04.1977,False,True,True,True,True,IP ownership,False,True,False,True,True,Grant,148,Gift,0%,1%,False
