wealth - salary,wealth - investment gain,wealth - rental income,wealth - business revenue,wealth - inheritance,wealth - others,fund - salary,fund - investment gain,fund - rental income,fund - business revenue,fund - inheritance,fund - others,Age,Occupation,speed_of_payment
False,False,False,False,False,True,True,False,False,False,False,False,75,82 Assemblers & Quality Checkers,48
True,False,False,False,False,False,True,False,False,False,False,False,71,51 Personal Service Workers,43
True,False,False,False,False,False,False,False,False,False,True,False,22,40 Clerical Supervisors,48
False,True,False,False,False,False,True,False,False,False,False,False,89,33 Business & Administration Associate Professionals,46
False,True,False,False,False,False,False,False,False,True,False,False,39,36 Teaching Associate Professionals,31
False,False,False,True,False,False,False,False,False,False,True,False,63,61 - 62 Agricultural & Fishery Workers,34
False,True,False,False,False,False,True,False,False,False,False,False,47,"96 Waste Collection, Recycling & Material Recovery Workers & Other Elementary Workers",47
False,True,False,False,False,False,False,False,False,False,True,False,21,24 Business & Administration Professionals,46
False,True,False,False,False,False,True,False,False,False,False,False,62,22 Health Professionals,39
False,False,False,False,True,False,True,False,False,False,False,False,60,52 Sales Workers,41
False,True,False,False,False,False,True,False,False,False,False,False,39,"26 Legal, Social, Religious & Cultural Professionals",52
True,False,False,False,False,False,True,False,False,False,False,False,52,"11 Legislators, Senior Officials & Chief Executives",34
False,True,False,False,False,False,True,False,False,False,False,False,63,13 Production & Specialised Services Managers,45
True,False,False,False,False,False,True,False,False,False,False,False,49,42 Customer Services Officers & Clerks,37
False,True,False,False,False,False,True,False,False,False,False,False,43,43 Numerical & Material-Recording Clerks,37
False,False,True,False,False,False,True,False,False,False,False,False,50,21 Science & Engineering Professionals,50
False,True,False,False,False,False,True,False,False,False,False,False,56,42 Customer Services Officers & Clerks,48
True,False,False,False,False,False,True,False,False,False,False,False,66,31 Physical & Engineering Science Associate Professionals,48
